timestamp,voltage_ch0,voltage_ch1,percent_ch0,percent_ch1,percent_mean,valid,watered,pump_seconds,device
2026-08-11T00:14:05Z,1.5774,0.8097,88.3,86.1,87.2,true,false,0,potpi-esp01
2026-08-11T01:14:05Z,1.5742,0.8097,88.5,86.1,87.3,true,false,0,potpi-esp01
2026-08-11T02:14:05Z,1.5774,0.8097,88.3,86.1,87.2,true,false,0,potpi-esp01
2026-08-11T03:14:05Z,1.5774,0.8097,88.3,86.1,87.2,true,false,0,potpi-esp01
2026-08-11T04:14:05Z,1.5774,0.8097,88.3,86.1,87.2,true,false,0,potpi-esp01
2026-08-11T05:14:05Z,1.5774,0.8097,88.3,86.1,87.2,true,false,0,potpi-esp01
2026-08-11T06:14:05Z,1.5774,0.8113,88.3,86,87.1,true,false,0,potpi-esp01
2026-08-11T07:14:05Z,1.5855,0.8097,87.8,86.1,87,true,false,0,potpi-esp01
2026-08-11T08:14:05Z,1.5968,0.8129,87,85.9,86.4,true,false,0,potpi-esp01
2026-08-11T09:14:05Z,1.6,0.8129,86.8,85.9,86.3,true,false,0,potpi-esp01
2026-08-11T10:14:05Z,1.6097,0.8129,86.2,85.9,86,true,false,0,potpi-esp01
2026-08-11T11:14:05Z,1.5968,0.8129,87,85.9,86.4,true,false,0,potpi-esp01
2026-08-11T12:14:05Z,1.6065,0.8129,86.4,85.9,86.1,true,false,0,potpi-esp01
2026-08-11T13:14:05Z,1.5903,0.8129,87.5,85.9,86.7,true,false,0,potpi-esp01
2026-08-11T14:14:05Z,1.6065,0.8129,86.4,85.9,86.1,true,false,0,potpi-esp01
2026-08-11T15:14:05Z,1.5984,0.8129,86.9,85.9,86.4,true,false,0,potpi-esp01
2026-08-11T16:14:06Z,1.5968,0.8145,87,85.7,86.4,true,false,0,potpi-esp01
2026-08-11T17:14:06Z,1.6129,0.8161,86,85.6,85.8,true,false,0,potpi-esp01
